Coin,Гривня,Україна,1992,500, гривня,Нікель,Президент України
Coin,Долар,США,1789,100, долар,Мідь,Американський герб
Coin,Евро,Європейський Союз,1999,200, євро,Нержавіюча сталь,Карта Європи
Coin,Йена,Японія,1871,50, йена,Алюміній,Японські символи
Coin,Франк,Франція,1795,20, франк,Бронза,Маріанна
Coin,Рубль,Росія,1992,10, рубль,Сталь,Двоголовий орел
Coin,Фунт,Велика Британія,1983,50, фунт,Мідь-никель,Британська королева
Coin,Долар,Канада,1858,25, долар,Нікель,Лоон
Coin,Крона,Швеція,1873,5, крона,Алюміній-бронза,Корона короля
Coin,Франк,Бельгія,1832,1, франк,Мідь,Леопольд I
Coin,Крона,Данія,1873,20, крона,Бронза,Данські символи
Coin,Франк,Швейцарія,1850,2, франк,Нікель,Гарпія
Coin,Песо,Мексика,1921,10, песо,Нікель,Мексиканський орел
Coin,Долар,Австралія,1966,50, долар,Мідь,Елізабет II
Coin,Долар,Нова Зеландія,1967,20, долар,Бронза-алюміній,Елізабет II
Coin,Рупія,Індія,1950,10, рупія,Нікель,Ашок-стовп
Coin,Шекель,Ізраїль,1985,1, шекель,Мідь-нікель,Давидова зірка
Coin,Долар,Сінгапур,1967,10, долар,Мідь-нікель,Мерліон
Coin,Шилінг,Австрія,1924,2, шилінг,Нікель,Австрійський орел
Coin,Долар,Гонконг,1866,10, долар,Бронза,Баухінія
Coin,Долар,Тайвань,1949,50, долар,Мідь,Софія
Coin,Пенні,Ірландія,1928,1, пенні,Бронза,Гарпія
Coin,Кварцовий,Литва,1991,2, кварцовий,Мідь,Витаутас Великий
Coin,Еск'юдо,Еквадор,2000,25, еск'юдо,Нікель,Еквадорський орел
Coin,Реал,Бразилія,1994,5, реал,Мідь-нікель,Републікас флаг
Coin,Динар,Йорданія,1949,1, динар,Бронза,Абдулла I
Coin,Бат,Таїланд,1987,10, бат,Мідь,Рама IX
Coin,Рупія,Індонезія,1949,100, рупія,Алюміній-бронза,Гарпія
Coin,Пенс,Малайзія,1967,50, пенс,Мідь-никель,Сукомбанда
Coin,Така,Бангладеш,1973,1, така,Мідь,Бангладешська символіка
Coin,Форінт,Угорщина,1946,20, форінт,Алюміній,Іштван I
Coin,Песо,Філіппіни,1861,5, песо,Нікель,Хосе Різаль
Coin,Долар,Ямайка,1969,20, долар,Бронза,Елізабет II
Coin,Крона,Норвегія,1875,10, крона,Нікель,Гарпія
Coin,Рубль,Білорусь,1992,50, рубль,Мідь-нікель,Беларуські символи
Coin,Реал,Іспанія,1868,1, реал,Мідь,Емблема Іспанії
Coin,Рупія,Шрі-Ланка,1872,10, рупія,Мідь,Лев
Coin,Крона,Чехія,1993,20, крона,Алюміній,Карл IV
Coin,Динар,Сербія,2003,10, динар,Нікель,Стволи
Coin,Хвалюк,Україна,2018,5, хвалюк,Мідь,Герб України
Coin,Крона,Непал,1932,2, крона,Алюміній,Гімалайський гори
Coin,Долар,Куба,1915,1, долар,Мідь,Кубинський герб
Coin,Рупія,Пакистан,1948,5, рупія,Нікель,Мухаммад Алі Джінна
Coin,Песо,Аргентина,1992,1, песо,Бронза,Сонце з лицарем
Coin,Долар,Коста-Рика,1897,100, долар,Нікель,Национальний герб
Coin,Болівіар,Венесуела,1879,20, болівіар,Мідь,Симон Болівар
Coin,Рупія,Мавританія,1973,10, рупія,Алюміній,Утекаюча жінка
Coin,Долар,Нікарагуа,1912,50, долар,Мідь,Рубен Даріо
